id,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Position,Height (in),Wing Span (in)
1630171,Isaac Okoro,2024-25,00,1610612739,CLE,24.0,55,22,1053,124,267,0.464,56,151,0.371,33,46,0.717,49,81,130,68,32,16,23,104,337,SF,77,81
203482,Kelly Olynyk,2024-25,00,1610612761,TOR,34.0,24,2,383,59,118,0.5,19,43,0.442,34,43,0.791,25,64,89,56,16,8,35,59,171,C,83,82
203482,Kelly Olynyk,2024-25,00,1610612740,NOP,34.0,20,20,508,75,150,0.5,14,36,0.389,49,65,0.754,37,80,117,72,17,11,41,64,213,C,83,82
203482,Kelly Olynyk,2024-25,00,0,TOT,34.0,44,22,891,134,268,0.5,33,79,0.418,83,108,0.769,62,144,206,128,33,19,76,123,384,C,83,82
1626162,Kelly Oubre Jr.,2024-25,00,1610612755,PHI,29.0,60,57,2078,348,741,0.47,71,242,0.293,139,185,0.751,97,271,368,108,92,30,80,180,906,SF,78,86
101108,Chris Paul,2024-25,00,1610612759,SAS,40.0,82,82,2292,249,583,0.427,140,371,0.377,85,92,0.924,33,263,296,605,103,22,129,151,723,PG,73,76
1626166,Cameron Payne,2024-25,00,1610612752,NYK,30.0,72,5,1090,179,446,0.401,93,256,0.363,49,54,0.907,14,90,104,203,39,16,52,111,500,PG,73,80
1627780,Gary Payton II,2024-25,00,1610612744,GSW,32.0,62,11,927,171,298,0.574,31,95,0.326,27,38,0.711,53,132,185,83,52,17,39,108,400,SG,74,80
1641763,Julian Phillips,2024-25,00,1610612741,CHI,21.0,79,5,1123,128,287,0.446,50,153,0.327,60,76,0.789,67,102,169,39,38,20,27,108,366,SF,79,83
1629618,Jalen Pickett,2024-25,00,1610612743,DEN,25.0,49,4,666,77,180,0.428,40,101,0.396,6,8,0.75,15,56,71,107,19,5,24,38,200,PG,74,79
203486,Mason Plumlee,2024-25,00,1610612756,PHX,35.0,74,21,1300,125,202,0.619,0,4,0.0,83,128,0.648,116,339,455,134,33,47,59,154,333,C,83,83
